Stkcd,Empnum,Vmntw3,A001000000,B001100000,B002000000,C001000000,T40801,T60200
4,264,1271500,1563562870.86,280531008.22,61990293.98,3973925.97,0.0426,0.3756
5,629,1153500,2468377463.56,398921057.66,-386796160.83,116373610.28,-0.2902,-0.3654
7,76,1877800,364394022.55,45146397.44,-123038365.96,-3359064.84,-1.8147,-0.3551
8,2394,6090500,12828310640.73,1917519166.43,-891970904.84,520039172.94,-0.1338,-0.3208
9,13345,10909300,31856615637.93,10663512791.62,1067788613.28,655142169.9,0.0806,0.414
10,278,2328200,3541730495.91,1408542234.95,76354376.87,-360797901.56,0.0935,0.0931
12,10558,19137100,17882914898,10671253445,811952981,2730619636,0.0765,0.2644
17,65,906300,91742769.99,117857480.17,4375706.59,3942228.96,0.1706,0.0079
20,1132,1099000,627779621.06,691742269.12,6830187.4,59719269.6,0.0203,0.0241
23,984,833900,2328082278.56,1783181437.28,22361651.35,88741854.78,0.0369,0.1612
30,7397,4767000,14461488628.26,11113430326.49,908467059.68,596925998.99,0.1098,0.5018
34,4569,11529100,30689603232.9,92060443406.22,624100020.59,1456920143.56,0.1327,0.9462
35,60224,860000,50377882369.02,21867491787.91,828502094.52,3006570196.78,0.0663,2.3261
36,806,2074500,10844473802.05,2705064944.82,772928133.65,-539008527.17,0.1327,0.5209
38,147,1758900,3238497741.17,2130243693.83,79441527.98,-318833886.26,0.0273,0.152
40,572,1667000,26201168826.73,3471428437.98,-1040991478.06,547736979.29,-0.0854,-0.7001
46,9601,6619300,180990832219.94,14056819178.97,-4720384567.93,8336237439.78,-0.1349,-0.9084
48,1305,9850200,9903753908.17,4071503296.81,877714394.8,1806061154.61,0.3156,2.1807
55,2245,4394200,11866857250.39,2979296410.16,381777216.87,548709785.9,0.0701,0.3508
56,960,4835000,11756759580.38,685729753.47,-319660679.54,475412423.32,-0.0661,-0.2722
62,1881,5670000,12240957482.73,16330983089.5,719735327.79,-480618231.52,0.118,0.6881
63,73709,28714000,150634906000,101450670000,4721692000,10232651000,0.1024,1.0235
68,482,3848000,3713822584.91,228679256.43,-179072880.79,-15697726.75,-0.2301,-0.1779
78,10484,6218600,39720506526.8,40022495409.13,-41287960.38,1650554959.89,-0.0055,-0.015
150,8414,1200000,5093297225.96,1561644374.35,-614461269.52,182034443.28,-2.2304,-0.7001
153,4556,1314000,3636207572.4,3321182365.33,102096606.18,292753328.44,0.0705,0.3271
156,12944,3334500,23440513999.98,7577647859.63,951714202.27,1922057078.1,0.0685,0.4852
159,258,5994900,2679380639.68,552744207.53,84999150.97,-46591951.63,0.0387,0.1768
301,18597,4549900,62933612564.34,22777003535.78,312734784.49,2061343307.2,0.0139,0.04
333,149239,28740000,360382603000,285709729000,27506542000,29557117000,0.2214,3.9128
400,5547,1965800,16806142848.31,11191201681.05,802630209.78,783466700.18,0.0873,0.796
403,902,6365200,1652617170.83,1049937691.4,182683577.11,194839665.96,0.1889,0.371
407,2071,4021100,6752489856.5,4596360862.81,215636235.13,449780536.63,0.0743,0.245
408,1603,1335700,8677638570.64,1903487124.97,228887517,-174468152.33,0.0289,0.1148
409,381,2128400,996444595.76,2163457678.16,99408760.77,-155301304.94,0.1743,0.1946
413,4557,2820400,64829232860.32,7048745959.08,-3472593890.93,2041305560.81,-0.1214,-0.606
415,612,2454300,250212275000,27417721000,-8595520000,14446691000,-0.2069,-1.3898
416,49,3607000,973401419.87,75906326.75,37603619.62,92154360.51,0.0406,0.0707
426,554,1024000,9315338588.6,940212541.04,-183867401.48,417397335.11,-0.0357,-0.1001
430,1074,1098100,2795611103.77,169196685.24,-92199858.68,-21621183.64,-0.061,-0.2278
498,14020,2440600,55080915338.19,34437327009.35,1475509814.2,974485539.07,0.1144,0.6868
502,119,1610500,231581144.72,14740139.64,-18823018.93,-15228664.82,-0.0985,-0.1018
503,1244,3753500,1296817917.19,207372157.9,-243342238.68,-93006322.85,-0.2524,-0.2707
506,1472,1616300,2323131340.61,425054418.8,-485761007.65,133229485.72,-0.8468,-0.5229
509,82,1296000,272487476.98,50084400.07,13146428.49,-95345541.69,0.0878,0.0123
510,2435,4664800,1816415281.28,2206963015.97,75426364.31,195290290.65,0.0689,0.1238
513,8367,13364800,20590815791.72,10520409842.01,2131326706.5,2160760606.42,0.1563,2.2558
516,6737,1500000,12124407681.43,1606986016.51,34836814.51,41329510.62,0.0069,0.0177
517,977,3490000,67767966376.2,11177718084.72,1777729908.56,-10728252476.63,0.1688,0.5583
518,288,783100,823707532.72,505399427.19,27656454.68,100233420.61,0.0404,0.0269
520,272,1890000,633571991.46,715103027.76,10529048.74,27716883.82,0.025,0.0104
521,14907,1324300,16103355454.46,15388050229.67,-79122112.48,1403516222.46,-0.0159,-0.0757
525,3195,2424000,11542748161.82,4021995202.84,-149086578.73,231238358.59,-0.0363,-0.2567
526,11442,9636400,3515113652.66,2429882904.4,42776621.02,167297920.54,0.324,0.4447
533,1270,5926900,2444369029.3,1477674933.94,85491762.08,38337487.04,0.0899,0.1238
534,890,1470700,2125769141.68,552561979.41,68835202.01,142422522.82,0.0694,0.14
537,2234,2459000,74834989645.27,19750567812.57,2211605684.51,-6384692667.24,0.144,1.1874
540,5950,2436900,138451063743.74,23437014482.48,710024574.72,12813596518.19,0.0328,0.1014
545,964,1700000,2887706112.04,1834093431.13,-250223300.41,177693817.48,-0.1385,-0.2536
546,3299,2760300,9805811635.23,8671488587.66,483132948.5,562890020.69,0.0913,0.676
547,2589,2969300,12435488442.32,4436047708.57,873149697.82,194807989.27,0.0934,2.39
555,12898,6856100,12051862835.52,10685976832,466382950.29,321856742.57,0.082,0.478
557,1122,1616700,5472298346.83,895854770.14,171683451.02,172193637.47,0.0334,0.1177
558,136,1815900,2165881489.35,140024539.82,-73207267.64,13155101.7,-0.06,-0.0568
559,8245,3505300,15490078642.11,10881679917.66,443594001.24,1240722110.93,0.0502,0.1343
560,48488,2285200,20123743078.13,9574944513.57,324872995.6,2243052983.18,0.0313,0.1379
564,4040,900900,46972672942.69,2210632901.92,-4606033965.83,173660422.17,-0.1782,-0.77
566,3148,2519200,10279231596.61,2200313977.32,-654561154.63,-117375748.61,-0.1648,-0.4899
567,58,5740000,6088885350.11,311777480.41,127803689.76,209451390.6,0.0293,0.1993
571,3055,2753100,2931012359.75,989107970.4,-352822686.65,137367956.25,-0.3741,-0.4334
572,3122,1347600,9208333394.09,1448218668,-1282274634.74,109801645.26,-0.289,-0.7797
573,255,4497400,3109257116.83,826058865.27,-120369186.78,265125813.91,-0.0764,-0.1886
576,278,2200700,1943277711.58,514783192.92,690002484.28,-163912.48,0.3973,1.5581
584,994,3071000,5016498223.62,1617874773.03,9316474.13,953118.4,0.0037,0.0122
586,603,2460100,490848239.24,485105246.04,22779380.11,797923.94,0.0834,0.1178
587,60,920400,5242408950.73,377949987.43,-266045352.02,-762524490.46,-0.7874,-0.1253
592,1060,1951100,4935689415.76,1234263308.85,-300582557.78,-103718885.33,-0.0917,-0.1556
593,1073,2272600,2101925820.46,1275434692.59,42187983.67,109745288.35,0.0402,0.1176
595,1206,722700,1582975387.23,204908810.9,13446776.57,-194183612.33,0.0135,0.0118
597,7567,2536400,12165694782.8,7384354375.59,10827500.52,570918423.06,0.0026,0.008
603,1581,2915800,4642922619.29,1637777142.58,413336921.91,598801913.82,0.1575,3.2123
605,1692,1565700,8682654178.09,1887061359.95,18741211.77,144054151.51,0.0067,0.0531
606,1602,1374700,1502694782.9,774504021.7,-1193540870.5,183585044.28,-2.7494,-1.5586
607,3070,1971100,3223661045.64,1666381186.96,-371152632.6,216643707.1,-0.2364,-0.3647
608,107,8603300,5923791940.6,570162656.45,115408181.02,372214126.31,0.0318,0.1539
609,179,2514500,3882019069.94,106197699.5,-306254727.21,-74367482.11,-0.2473,-1.0234
611,26,360000,2393455500.59,7395023.11,-40364577.53,-43035854.12,-0.037,-0.1195
612,2407,5064000,7136977155.72,4744064718.26,567900048.71,828427755.59,0.1177,0.4763
613,120,1317200,97441339.2,15511989.37,-11567888.97,-6729267.98,-0.1729,-0.0318
615,3565,2255900,9453174039.62,1987344106.08,38170703.3,-382582581.94,0.0144,0.0489
616,199,960900,5819189271.05,1254775377.24,378622531.52,-63830454.51,0.071,0.2647
620,7469,4875300,50391037662.63,7083884205.43,-1226922440.09,3115417242.92,-0.1471,-2.2894
622,133,1043300,387837529.92,343192051.65,3086605.1,6932564.99,0.0145,0.0073
623,4462,2989500,27353457083.87,2251650950.38,1691413240.68,390408759.72,0.0719,1.4543
626,623,8058100,6614086516.44,59041455357.74,54254366.1,-340301495.45,0.0193,0.0999
627,2379,2703900,239402637169.94,30562916430.35,1117905848.37,21421088420,0.0323,0.2263
631,615,1983300,7447804897.34,581138355.31,252795918.61,-1806263870.44,0.0398,0.1039
633,209,2022300,235559012.89,131431254.34,7169009.68,-7538445.51,0.0435,0.0186
637,684,6292200,1921187036.16,3997922191.85,-378837.57,69341087.47,-0.0004,-0.0007
638,670,919100,507416635.12,110993349.65,-20407474.41,-1739421.8,-0.1212,-0.066
639,1957,1023400,7723921757.15,5779674621.75,339732264.52,702648968.04,0.0791,0.3147
650,6538,2780000,6305052157.97,4106104187.58,657657198.41,871131642.15,0.1172,0.4698
656,22910,40215400,381157978538.14,87704409982.96,9704359875.43,14507907188.18,0.132,1.8174
657,7546,3105600,9203180360.86,9919458028.34,296489886.02,-171960898.66,0.06,0.2812
659,1896,3375000,2198332430.62,1260540367.98,-180443229.85,238737271.94,-0.3731,-0.1403
667,1988,8654000,28314202162.61,4206713612.38,-447357030.73,73810657.13,-0.0654,-0.1813
668,167,3064800,2619251905.01,109583338.38,-23285256.61,-94702431.73,-0.0223,-0.1586
669,1160,1450000,4063237030.7,2303598969.48,-32478490.94,363689965.37,-0.0222,-0.0477
670,136,1644000,1468419837.16,699966125.52,27790823.52,-99790350.47,0.1642,0.0958
671,21319,12000000,352301853054.58,82171244467.28,5491345439.03,21353512745.29,0.0927,1.3275
672,2433,3550000,11303732426.1,6432292239.1,2046717537.99,2014156628.37,0.2857,2.5156
676,895,3082200,5993810486.37,10778491493.4,-2965464198.14,-221105114.81,-0.8107,-2.2369
677,931,780000,867228057.45,680252665.05,16718793.48,48644589.61,0.0242,0.0194
678,3515,967000,2596692888.57,1191531469.82,-93527717.71,-43279344.45,-0.0812,-0.2035
679,467,3282100,1344177161.27,175772709.74,3960976.97,-48234565,0.0059,0.0111
681,483,2154200,4038764458.85,570451577.66,142303674.38,112482115.71,0.0449,1.9258
683,4887,1994900,23254776294.85,7698057885.71,126418856.51,1989263178.42,0.0104,0.0338
688,903,2057000,3568207483.75,907574758.05,147158889.08,263286310.4,0.0609,0.1294
690,1312,2740000,19301617062.35,7159672229.83,1817863262.61,3517729726.83,0.1668,0.8355
691,444,741700,727396395.77,265756701.42,31329285.36,-72413717.18,0.1351,0.0969
697,1714,3217600,3364659161.74,1131484201.33,-481057066.47,98410074.05,-0.4733,-0.7163
700,5810,7367900,8363319760.32,6124452567.36,11528041.28,249575704.28,0.0042,0.0126
703,18154,4124900,92260268155.54,86429630191.87,3814601983.9,5013772777.95,0.1259,1.0361
711,1078,2147000,9803908957.22,1158320511.62,-2531322158.15,60169476.13,-0.9442,-2.4728
712,1570,6913000,23702118815.95,1025741861.86,149303875.03,3532054827.86,0.0278,0.1666
715,1428,3463900,2320556347.39,858484490.46,96888022.19,145138094.3,0.0628,0.2331
716,2170,2848600,5214119292.33,3840922700.12,972413.6,386644130.75,0.0004,0.0013
718,777,3475800,15971545465.59,4287442671.04,1012994210.6,98384433.57,0.1164,0.3338
719,14172,2078700,13649895196.25,9590322571.26,933944030.38,1659318871.78,0.104,0.9128
720,884,3001900,5285936415.14,3853086549.2,284081366.11,416952463.89,0.0987,0.2203
722,295,1610000,3324937483.5,310885895.31,97203471.05,-186187387.66,0.0315,0.2094
723,4106,1254900,25313102628.5,12846280125.87,860291433.43,1218544164.43,0.0764,0.2013
726,22583,2909000,12129903960.65,4751222464.14,89090058.39,593535922.89,0.011,0.1038
732,6096,3010000,216832586290.45,3614534476.46,-5106527271.36,-2948831541.31,-0.2545,-2.0517
735,2750,1840000,8428863890.88,2345963180.84,108111970.04,-268175458.95,0.0252,0.0939
