y,x1,lnx2,lnx3,ln|x4|,ln|x5|,x6,x7,x2,,x3,x4,x5,x6,x7
1271500,264,21.1702329456687,19.4521948230561,17.9424883820447,15.1952650733346,0.0426,0.3756,1563562870.86,,280531008.22,61990293.98,3973925.97,0.0426,0.3756
1153500,629,21.6268268743906,19.804274104803,-19.7734083960288,18.5723163517501,-0.2902,-0.3654,2468377463.56,,398921057.66,-386796160.83,116373610.28,-0.2902,-0.3654
1877800,76,19.7137463196755,17.6254210437246,-18.6280067830743,-15.0271731717722,-1.8147,-0.3551,364394022.55,,45146397.44,-123038365.96,-3359064.84,-1.8147,-0.3551
6090500,2394,23.274920334319,21.3742980866864,-20.6089440721199,20.0694146992793,-0.1338,-0.3208,12828310640.73,,1917519166.43,-891970904.84,520039172.94,-0.1338,-0.3208
10909300,13345,24.1845109097323,23.0900937315717,20.7888556302537,20.3003628233293,0.0806,0.414,31856615637.93,,10663512791.62,1067788613.28,655142169.9,0.0806,0.414
2328200,278,21.987881285301,21.0658211305961,18.1508959143774,-19.7038285300604,0.0935,0.0931,3541730495.91,,1408542234.95,76354376.87,-360797901.56,0.0935,0.0931
19137100,10558,23.6071116190198,23.0908193691188,20.514952991277,21.7277943932826,0.0765,0.2644,17882914898,,10671253445,811952981,2730619636,0.0765,0.2644
906300,65,18.3344992405951,18.584986657288,15.2915785710188,15.1872568471999,0.1706,0.0079,91742769.99,,117857480.17,4375706.59,3942228.96,0.1706,0.0079
1099000,1132,20.257699740966,20.3547240007394,15.7368626689451,17.9051653001519,0.0203,0.0241,627779621.06,,691742269.12,6830187.4,59719269.6,0.0203,0.0241
833900,984,21.5683107092151,21.3016649302016,16.9228580563864,18.3012422049813,0.0369,0.1612,2328082278.56,,1783181437.28,22361651.35,88741854.78,0.0369,0.1612
4767000,7397,23.3947549963907,23.1314201532014,20.6272691872235,20.2073037088832,0.1098,0.5018,14461488628.26,,11113430326.49,908467059.68,596925998.99,0.1098,0.5018
11529100,4569,24.1471897772736,25.2457111918155,20.2518212028958,21.0995905538448,0.1327,0.9462,30689603232.9,,92060443406.22,624100020.59,1456920143.56,0.1327,0.9462
860000,60224,24.6428180738199,23.8082669777196,20.5351299229146,21.8240657965099,0.0663,2.3261,50377882369.02,,21867491787.91,828502094.52,3006570196.78,0.0663,2.3261
2074500,806,23.1069214601818,21.7183917581322,20.4656966315311,-20.1052419491006,0.1327,0.5209,10844473802.05,,2705064944.82,772928133.65,-539008527.17,0.1327,0.5209
1758900,147,21.8983753990943,21.4795022203722,18.1905318119069,-19.5801807923935,0.0273,0.152,3238497741.17,,2130243693.83,79441527.98,-318833886.26,0.0273,0.152
1667000,572,23.9890698584256,21.9678319997956,-20.7634394402441,20.121305764893,-0.0854,-0.7001,26201168826.73,,3471428437.98,-1040991478.06,547736979.29,-0.0854,-0.7001
6619300,9601,25.9217122162109,23.3663734657979,-22.2751561094812,22.8438778052106,-0.1349,-0.9084,180990832219.94,,14056819178.97,-4720384567.93,8336237439.78,-0.1349,-0.9084
9850200,1305,23.0161797048588,22.1272781285997,20.5928318080203,21.3144141532782,0.3156,2.1807,9903753908.17,,4071503296.81,877714394.8,1806061154.61,0.3156,2.1807
4394200,2245,23.1970152464334,21.8149530056136,19.7603477945315,20.1230802365704,0.0701,0.3508,11866857250.39,,2979296410.16,381777216.87,548709785.9,0.0701,0.3508
4835000,960,23.1876941955611,20.3459941626943,-19.5827706147237,19.9796932449006,-0.0661,-0.2722,11756759580.38,,685729753.47,-319660679.54,475412423.32,-0.0661,-0.2722
5670000,1881,23.2280533366844,23.5163299435558,20.3943941021012,-19.9905838154618,0.118,0.6881,12240957482.73,,16330983089.5,719735327.79,-480618231.52,0.118,0.6881
28714000,73709,25.7381249050039,25.342838507435,22.2754330468835,23.048849523124,0.1024,1.0235,150634906000,,101450670000,4721692000,10232651000,0.1024,1.0235
3848000,482,22.0353275294602,19.2478309527805,-19.0033034361912,-16.5690264668414,-0.2301,-0.1779,3713822584.91,,228679256.43,-179072880.79,-15697726.75,-0.2301,-0.1779
6218600,10484,24.4051334284791,24.4127075182093,-17.5360814992094,21.2243774076368,-0.0055,-0.015,39720506526.8,,40022495409.13,-41287960.38,1650554959.89,-0.0055,-0.015
1200000,8414,22.3511912428476,21.169005189171,-20.2362564573518,19.019706475927,-2.2304,-0.7001,5093297225.96,,1561644374.35,-614461269.52,182034443.28,-2.2304,-0.7001
1314000,4556,22.014207099751,21.9235866906096,18.4414300424257,19.4948409299419,0.0705,0.3271,3636207572.4,,3321182365.33,102096606.18,292753328.44,0.0705,0.3271
3334500,12944,23.8777317297416,22.748468679689,20.6737753399847,21.376661844296,0.0685,0.4852,23440513999.98,,7577647859.63,951714202.27,1922057078.1,0.0685,0.4852
